100 kDa ileum brush border membrane protei	3.4.17.21
2-(5''-triphosphoribosyl)-3'-dephosphocoenzyme-A synthas	2.7.7.61
2-(5''-triphosphoribosyl)-3'-dephosphocoenzyme-A synthas	2.7.8.25
2,6-beta-D-fructan fructanohydrolas	3.2.1.65
2,6-beta-fructan 6-levanbiohydrolas	3.2.1.64
2,6-dihydropseudooxynicotine hydrolas	3.7.1.-
2,6-dioxo-6-phenylhexa-3-enoate hydrolas	3.7.1.8
26 kDa antige	1.11.1.15
26 kDa endochitinase	3.2.1.14
26 kDa prosomal protei	3.4.25.1
26S proteasome alpha-type subunit PRE1	3.4.25.1
26S proteasome alpha-type subunit PRE	3.4.25.1
26S proteasome alpha-type subunit PUP	3.4.25.1
26S proteasome-associated PAD1 homolog	3.4.19.-
26S proteasome beta-type subunit PRE	3.4.25.1
26S proteasome beta-type subunit PUP	3.4.25.1
26S proteasome non-ATPase regulatory subunit 1	3.4.19.-
26S proteasome regulatory complex subunit p37	3.4.19.-
26S proteasome regulatory subunit rpn1	3.4.19.-
26S proteasome regulatory subunit RPN1	3.4.19.-
	2.7.11.1
	2.7.1.69
	2.7.7.4
27 kDa interstitial collagenas	3.4.24.7
27 kDa membrane protei	5.2.1.8
27 kDa prosomal protei	3.4.25.1
28 kDa adipocyte protei	3.4.21.46
28 kDa cold-induced protei	2.5.1.18
28 kDa produc	3.4.22.-
29.5 kDa outer membrane antige	5.2.1.8
29 kDa cysteine-rich surface antige	1.11.1.15
29 kDa hemocyte proteinas	3.4.22.-
29 kDa protei	1.1.1.105
2-acetyl-1-alkylglycerophosphocholine esteras	3.1.1.47
2-acylglycerol O-acyltransferase 2-	2.3.1.22
2-acylglycerol O-acyltransferase	2.3.1.22
2-acylglycerophosphoethanolamine acyltransferas	2.3.1.40
2-acyl-GPE acyltransferas	2.3.1.40
2A-DU	3.4.19.-
2-alpha-hydroxytaxane 2-O-benzoyltransferas	2.3.1.166
2-amino-3,7-dideoxy-D-threo-hept-6-ulosonate synthas	4.1.2.n5
2-amino-3-carboxymuconate-6-semialdehyde decarboxylas	4.1.1.45
2-amino-3-ketobutyrate coenzyme A ligas	2.3.1.29
2-amino-3-ketobutyrate coenzyme A ligase, mitochondria	2.3.1.29
2-amino-4,5-dihydroxy-6-one-heptanoic acid-7-phosphate synthas	4.1.2.n6
2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinas	2.7.6.3
2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinas	4.1.2.25
2-aminoadipate aminotransferas	2.6.1.39
2-aminoadipate aminotransferas	2.6.1.7
2-aminoadipate transaminas	2.6.1.39
2-aminoadipate transaminas	2.6.1.7
2-aminoadipic 6-semialdehyde dehydrogenas	6.2.1.-
2-aminoethanesulfonate dioxygenas	1.14.11.17
2-aminoethanethiol dioxygenas	1.13.11.19
2-aminoethylphosp	3.11.1.1
2-aminoethylphosphonate aminotransferas	2.6.1.37
2-aminoethylphosphonate aminotransferase	2.6.1.37
2-aminoethylphosphonate--pyruvate transaminas	2.6.1.37
2-aminoethylphosphonate--pyruvate transaminas	3.11.1.1
2-aminoethylphosphonate--pyruvate transaminase	2.6.1.37
2''-aminoglycoside nucleotidyltransferas	2.7.7.46
2''-aminoglycoside phosphotransferas	2.3.1.-
2-aminomuconate deaminas	3.5.99.5
2-aminomuconic 6-semialdehyde dehydrogenas	1.2.1.32
2-aminophenol 1,6-dioxygenase beta subuni	1.13.11.n1
2-arachidonoylglycerol hydrolas	3.1.1.23
2-arylpropionyl-CoA epimeras	5.1.99.4
2-chlorobenzoate 1,2-dioxygenas	1.14.12.13
2C-like protei	3.6.1.15
2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthas	2.7.7.60
2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthas	4.6.1.12
2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase, chloroplasti	4.6.1.12
2-C-methyl-D-erythritol 4-phosphate cytidylyltransferas	2.7.7.60
2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase	2.7.7.60
2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase, chloroplasti	2.7.7.60
2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase-like protei	2.7.7.-
2-C-methyl-D-erythritol 4-phosphate synthas	1.1.1.267
2-C-methyl-D-erythritol 4-phosphate synthase	1.1.1.267
2-Cys peroxiredoxin	1.11.1.15
2-Cys peroxiredoxin BAS1, chloroplasti	1.11.1.15
2-Cys peroxiredoxin BAS1-like, chloroplasti	1.11.1.15
2-Cys Prx	1.11.1.15
2-debenzoyl-7,13-diacetylbaccatin III-2-O-benzoyl transferas	2.3.1.166
2-dehydro-3-deoxy-6-phosphogalactonate aldolas	4.1.2.21
2-dehydro-3-deoxy-D-glucarate aldolas	4.1.2.20
2-dehydro-3-deoxy-D-gluconate 5-dehydrogenas	1.1.1.127
2-dehydro-3-deoxygalactonokinas	2.7.1.58
2-dehydro-3-deoxygluconokinas	2.7.1.45
2-dehydro-3-deoxy-phosphogluconate aldolas	4.1.2.14
2-dehydro-3-deoxy-phosphogluconate aldolas	4.1.3.16
2-dehydro-3-deoxyphosphooctonate aldolas	2.5.1.55
2-dehydro-3-deoxyphosphooctonate aldolase	2.5.1.55
2-dehydro-3-deoxyrhamnonate aldolas	4.1.2.n3
2-dehydropantoate 2-reductas	1.1.1.169
2-deoxy-5-keto-D-gluconate kinas	2.7.1.92
2-deoxy-5-keto-D-gluconate kinase	2.7.1.92
2-deoxyglucose-6-phosphatase	3.1.3.68
2-deoxyglucose-6-phosphate phosphatase	3.1.3.68
2'-deoxymugineic-acid 2'-dioxygenas	1.14.11.24
2-deoxy-scyllo-inosamine dehydrogenas	1.1.1.-
2-deoxy-scyllo-inosose synthas	4.2.3.-
2-desacetyl-2-hydroxyethyl bacteriochlorophyllide A dehydrogenas	1.-.-.-
2-DOG-6-P	3.1.3.68
2D-page of etiolated coleoptile spot 24	1.1.1.49
2-enoate reductas	1.3.1.31
2-enoyl-CoA hydratas	4.2.1.-
2-epi-5-epi-valiolone synthas	4.2.3.-
2-haloacid dehalogenase, configuration-invertin	3.8.1.10
2-haloalkanoic acid dehalogenas	3.8.1.2
2-haloalkanoic acid dehalogenase	3.8.1.2
2-haloalkanoic acid dehalogenase H-10	3.8.1.2
2-haloalkanoic acid dehalogenase I	3.8.1.2
2-haloalkanoic acid dehalogenase IV	3.8.1.2
2-halobenzoate 1,2-dioxygenase electron transfer componen	1.18.1.3
2-halobenzoate 1,2-dioxygenase large subuni	1.14.12.13
2-halobenzoate 1,2-dioxygenase small subuni	1.14.12.13
2-HPC	4.1.-.-
2-hydro-1,2-dihydroxybenzoate dehydrogenas	1.3.1.25
2-hydroxy-3-keto-5-methylthiopentenyl-1-phosphate phosphatas	3.1.3.n4
2-hydroxy-3-keto-5-methylthiopentenyl-1-phosphate phosphatas	4.2.1.109
2-hydroxy-3-oxopropionate reductas	1.1.1.60
2-hydroxy-6-ketonona-2,4-diene-1,9-dioic acid 5,6-hydrolas	3.7.1.n1
2-hydroxy-6-ketonona-2,4-diene-1,9-dioic acid 5,6-hydrolase	3.7.1.n1
2-hydroxy-6-oxo-2,4-heptadienoate hydrolas	3.1.1.-
2-hydroxy-6-oxo-6-phenylhexa-2,4-dienoate hydrolas	3.7.1.8
2-hydroxy-6-oxonona-2,4,7-triene-1,9-dioic acid 5,6-hydrolas	3.7.1.n1
2-hydroxy-6-oxonona-2,4,7-triene-1,9-dioic acid 5,6-hydrolase	3.7.1.n1
2-hydroxy-6-oxonona-2,4-diene-1,9-dioic acid 5,6-hydrolas	3.7.1.n1
2-hydroxy-6-oxonona-2,4-diene-1,9-dioic acid 5,6-hydrolase	3.7.1.n1
2-hydroxy-6-oxononadienedioate/2-hydroxy-6-oxononatrienedioate hydrolas	3.7.1.n1
2-hydroxy-6-oxononadienedioate/2-hydroxy-6-oxononatrienedioate hydrolase	3.7.1.n1
2-hydroxyacid dehydrogenase homolo	1.1.1.-
2-hydroxyacid dehydrogenase homolog	1.1.1.-
2-hydroxyacyl-CoA lyase	4.1.-.-
2-hydroxyacylsphingosine 1-beta-galactosyltransferas	2.4.1.45
2'-hydroxybiphenyl-2-sulfinate desulfinas	3.13.1.3
2-hydroxyhepta-2,4-diene-1,7-dioate isomeras	5.3.3.10
2-hydroxyisoflavanone synthas	1.14.13.86
2'-hydroxyisoflavone reductas	1.3.1.45
2-hydroxymuconic semialdehyde dehydrogenas	1.2.1.-
2-hydroxymuconic semialdehyde hydrolas	3.1.1.-
2-hydroxypent-2,4-dienoate hydratas	4.2.-.-
2-hydroxypentadienoic acid hydratas	4.2.1.80
2-hydroxypentadienoic acid hydratase	4.2.1.80
2-hydroxyphytanoyl-CoA lyas	4.1.-.-
2-hydroxypropyl-CoM lyas	4.4.1.23
2-isopropylmalate synthas	2.3.3.13
2-isopropylmalate synthase 1, chloroplasti	2.3.3.13
2-isopropylmalate synthase	2.3.3.-
2-isopropylmalate synthase	2.3.3.13
2-isopropylmalate synthase 2, chloroplasti	2.3.3.13
2-isopropylmalate synthase 2, mitochondria	2.3.3.13
2K	1.1.1.215
2K	1.1.1.79
2-keto-3-deoxy acid sugar aldolas	4.1.2.n3
2-keto-3-deoxy-D-glucarate aldolas	4.1.2.20
2-keto-3-deoxy-galactonokinas	2.7.1.58
2-keto-3-deoxygluconate 5-dehydrogenas	1.1.1.127
2-keto-3-deoxygluconate oxidoreductas	1.1.1.127
2-keto-3-deoxygluconokinas	2.7.1.45
2-keto-3-deoxy-L-rhamnonate aldolas	4.1.2.n3
2-keto-4-hydroxyglutarate aldolas	4.1.3.16
2-keto-4-pentenoate hydratas	4.2.1.80
2-keto-4-pentenoate hydratase	4.2.1.80
2-ketoacid reductas	1.1.1.79
2-ketoaldonate reductas	1.1.1.215
2-ketoaldonate reductas	1.1.1.79
2-ketogluconate reductas	1.1.1.79
2-ketoglutarate oxidoreductase alpha chai	1.2.7.3
2-ketoglutarate oxidoreductase beta chai	1.2.7.3
2-ketoglutarate oxidoreductase gamma chai	1.2.7.3
2-keto-myo-inositol dehydratas	4.2.1.44
2-keto-myo-inositol dehydratase	4.2.1.44
2-keto-myo-inositol isomeras	5.3.99.n1
2KMI dehydratas	4.2.1.44
2KMI dehydratase	4.2.1.44
2KMI isomeras	5.3.99.n1
2-KPC	1.8.1.5
2-MEBCA	1.3.99.-
2-methylacyl-CoA racemas	5.1.99.4
2-methyl branched chain acyl-CoA dehydrogenas	1.3.99.-
2-methylbutyryl-CoA dehydrogenas	1.3.99.-
2-methylbutyryl-coenzyme A dehydrogenas	1.3.99.-
2-methylcitrate dehydratas	4.2.1.79
2-methylcitrate dehydratase	4.2.1.79
2-methylcitrate synthas	2.3.3.5
2-methylcitrate synthase	2.3.3.5
2-methylcitrate synthase, mitochondria	2.3.3.5
2-methyleneglutarate mutas	5.4.99.4
2-methylisocitrate lyas	4.1.3.30
2-methylisocitrate lyase	4.1.3.30
2-nitropropane dioxygenas	1.13.12.16
2-nonaprenyl-3-methyl-6-methoxy-1,4-benzoquinol hydroxylas	1.14.13.-
2-NP	1.13.12.16
2'-nucleotidas	2.7.7.25
2-octaprenyl-3-methyl-6-methoxy-1,4-benzoquinol hydroxylas	1.14.13.-
2-octaprenyl-6-methoxyphenol hydroxylas	1.14.13.-
2'-O-ribose RNA methyltransferas	2.1.1.-
2-OS	2.8.2.-
2OS	2.8.2.-
2-O-sulfotransferas	2.8.2.-
2-oxo-3-deoxygalactonate 6-phosphate aldolas	4.1.2.21
2-oxo-3-deoxygalactonate kinas	2.7.1.58
2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline decarboxylas	4.1.1.n1
2-oxoglutarate and Fe(II) dioxygenase domain-containing protein	1.14.11.-
2-oxoglutarate and iron-dependent oxygenase domain-containing protein	1.14.11.-
2-oxoglutarate carboxy-lyas	4.1.1.71
2-oxoglutarate decarboxylas	4.1.1.71
2-oxoglutarate dehydrogenase complex component E	1.2.4.2
2-oxoglutarate dehydrogenase complex component E1-lik	1.2.4.-
2-oxoglutarate dehydrogenase complex component E	2.3.1.61
2-oxoglutarate dehydrogenase E1 componen	1.2.4.2
2-oxoglutarate dehydrogenase-like, mitochondria	1.2.4.-
2-oxoglutarate dehydrogenase, mitochondria	1.2.4.2
2-oxoglutarate-dependent ethylene/succinate-forming enzym	1.13.-.-
2-oxoglutarate-ferredoxin oxidoreductase subunit alph	1.2.7.3
2-oxoglutarate-ferredoxin oxidoreductase subunit bet	1.2.7.3
2-oxoglutarate-ferredoxin oxidoreductase subunit gamm	1.2.7.3
2-oxoglutarate synthase subunit kor	1.2.7.3
2-oxo-hepta-3-ene-1,7-dioic acid hydratas	4.2.-.-
2-oxoisovalerate dehydrogenase subunit alph	1.2.4.4
2-oxoisovalerate dehydrogenase subunit alpha, mitochondria	1.2.4.4
2-oxoisovalerate dehydrogenase subunit bet	1.2.4.4
2-oxoisovalerate dehydrogenase subunit beta, mitochondria	1.2.4.4
2-oxoisovalerate-ferredoxin oxidoreductase subunit alph	1.-.-.-
2-oxoisovalerate ferredoxin reductase subunit alph	1.2.7.7
2-oxoisovalerate ferredoxin reductase subunit bet	1.2.7.7
2-oxoisovalerate ferredoxin reductase subunit delt	1.2.7.7
2-oxoisovalerate ferredoxin reductase subunit gamm	1.2.7.7
2-oxoisovalerate oxidoreductase alpha chai	1.-.-.-
2-oxoisovalerate oxidoreductase alpha chai	1.2.7.7
2-oxoisovalerate oxidoreductase beta chai	1.2.7.7
2-oxoisovalerate oxidoreductase delta chai	1.2.7.7
2-oxoisovalerate oxidoreductase gamma chai	1.2.7.7
2-oxopent-4-enoate hydratas	4.2.-.-
2-oxopent-4-enoate hydratas	4.2.1.80
2-oxopropyl-CoM reductase, carboxylatin	1.8.1.5
2-P	2.3.1.-
2-PD	3.1.4.-
2'-PD	3.1.4.-
2PG	2.7.2.-
2-phenylethylamine oxidas	1.4.3.21
2-phospho-D-glycerate hydro-lyas	4.2.1.11
2-phospho-D-glycerate hydro-lyase 1-	4.2.1.11
2-phospho-D-glycerate hydro-lyase	4.2.1.11
2-phosphoglycerate dehydratas	4.2.1.11
2-phosphoglycerate dehydratase 1-	4.2.1.11
2-phosphoglycerate dehydratase	4.2.1.11
2-phosphoglycerate kinas	2.7.2.-
2-phosphosulfolactate phosphatas	3.1.3.71
2-pyrone synthas	2.3.1.-
2-(R)-hydroxypropyl-CoM dehydrogenas	1.1.1.268
(2R)-phospho-3-sulfolactate synthas	4.4.1.19
(2S)-flavanone 2-hydroxylas	1.14.13.87
2-(S)-hydroxypropyl-CoM dehydrogenas	1.1.1.269
2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthas	2.2.1.9
2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthas	4.2.99.20
2-succinylbenzoate--CoA ligas	6.2.1.26
2-vinyl bacteriochlorophyllide hydratas	4.2.1.-
30 kDa extracellular protei	2.3.1.-
30 kDa HIV-1 TAT-interacting protei	1.1.1.-
30 kDa neutral phosphatas	3.1.-.-
30 kDa prosomal protei	3.4.25.1
3'(2'),5'-bisphosphate nucleotidas	3.1.-.-
3'(2'),5'-bisphosphate nucleotidas	3.1.3.7
3'(2'),5'-bisphosphate nucleotidase	3.1.3.7
3'(2'),5'-bisphosphate nucleotidase cys	3.1.3.7
3'(2'),5-bisphosphonucleoside 3'(2')-phosphohydrolas	3.1.3.7
3'(2'),5-bisphosphonucleoside 3'(2')-phosphohydrolase	3.1.3.7
3'(2'),5'-bisphosphonucleoside 3'(2')-phosphohydrolase	3.1.3.7
32.7 kDa immediate early protein IE	6.3.2.-
32 kDa hatching enzyme non-specifi	3.4.24.12
32 kDa protei	3.6.4.-
3,2-trans-enoyl-CoA isomeras	5.3.3.8
3,2-trans-enoyl-CoA isomerase, mitochondria	5.3.3.8
3-(3-hydroxy-phenyl)propionate/3-hydroxycinnamic acid hydroxylas	1.14.13.n3
3-(3-hydroxy-phenyl)propionate/3-hydroxycinnamic acid hydroxylase	1.14.13.n3
33 kDa chloroplast outer envelope protei	3.6.5.-
	3.4.21.-
	3.4.21.90
34.2 kDa protein in rubredoxin opero	1.8.1.-
3,4-AHBA synthas	4.3.3.n1
3,4-catechol estrogen-specific UDPG	2.4.1.17
3,4-dehydroadipyl-CoA semialdehyde dehydrogenas	1.2.1.77
3,4-dihydroxy-2-butanone 4-phosphate synthas	4.1.99.12
3,4-dihydroxy-5-hexaprenylbenzoate methyltransferas	2.1.1.114
3,4-dihydroxy-5-hexaprenylbenzoate methyltransferas	2.1.1.64
3,4-dihydroxyphenylacetate 2,3-dioxygenas	1.13.11.15
34 kDa chloroplast outer envelope protei	3.6.5.-
34 kDa extracellular nucleas	3.-.-.-
34 kDa nucleolar protein B-3	2.1.1.-
34 kDa nucleolar scleroderma antige	2.1.1.-
34 kDa xylanas	3.2.1.8
3,4-PC	1.13.11.3
3':5'-CN	3.1.4.17
3':5'-CN	3.1.4.53
3',5'-cyclic-nucleotide phosphodiesteras	3.1.4.17
3',5'-cyclic-nucleotide phosphodiesteras	3.1.4.53
3',5'-cyclic-nucleotide phosphodiesterase	3.1.4.17
3',5'-cyclic-nucleotide phosphodiesterase reg	3.1.4.53
3'-5' exonucleas	3.1.11.1
3'-5' exonuclease eri-	3.1.-.-
3'-5' exonuclease eri	3.1.-.-
3'-5' exonuclease ERI	3.1.-.-
3'-5' exonuclease TREX	3.1.11.2
3'-5' exoribonuclease	3.1.-.-
3'-5' exoribonuclease CSL4 homolo	3.1.13.-
3'-5' exoribonuclease yha	3.1.-.-
35 kDa dermonecrotic toxi	3.1.4.41
35 kDa PA	3.1.3.4
35 kDa soluble lytic transglycosylas	4.2.2.n1
3'-5' RNA exonuclease OLD3	2.7.7.8
36 kDa FK506-binding protei	5.2.1.8
36 kDa FKB	5.2.1.8
36 kDa protei	3.4.21.-
37 kDa major allerge	4.1.2.13
37S ribosomal protein S22, mitochondria	2.1.1.-
38 kDa autolysi	3.2.1.-
38 kDa BFA-dependent ADP-ribosylation substrat	1.2.1.12
38 kDa FK506-binding protei	5.2.1.8
38 kDa FKB	5.2.1.8
38 kDa hatching enzym	3.4.24.12
39 kDa adhesi	3.4.22.47
39 kDa FK506-binding nuclear protei	5.2.1.8
39 kDa protein kinas	2.7.11.22
39 protein kinas	2.7.11.22
39S ribosomal protein L44, mitochondria	3.1.26.-
3AH1	1.14.14.1
3-alkyladenine DNA glycosylas	3.2.2.21
3-alpha,7-alpha,12-alpha-trihydroxy-5-beta-cholest-24-enoyl-CoA hydra	1.1.1.35
3-alpha,7-alpha,12-alpha-trihydroxy-5-beta-cholestanoyl-CoA 24-hydroxylas	1.17.99.3
3-alpha,7-alpha,12-alpha-trihydroxy-5-beta-cholestanoyl-CoA oxidas	1.17.99.3
3-alpha->beta-HS	1.1.1.62
3-alpha->beta-hydroxysteroid epimeras	1.1.1.62
3-alpha-HS	1.1.-.-
3-alpha-HS	1.1.1.213
3-alpha-HS	1.1.1.50
3-alpha-HSD	1.-.-.-
3-alpha-HSD	1.1.1.-
3-alpha-HSD type	1.-.-.-
3-alpha-HSD type II, brai	1.-.-.-
3-alpha hydroxysteroid dehydrogenas	1.1.-.-
3-alpha-hydroxysteroid dehydrogenas	1.1.1.-
3-alpha-hydroxysteroid dehydrogenas	1.1.1.213
3-alpha-hydroxysteroid dehydrogenas	1.1.1.50
3-alpha-hydroxysteroid dehydrogenase type	1.-.-.-
3-alpha-hydroxysteroid dehydrogenase type	1.1.1.-
3-alpha-hydroxysteroid sulfotransferas	2.8.2.2
3-alpha-(or 20-beta)-hydroxysteroid dehydrogenas	1.1.1.53
3-amino-4-hydroxybenzoic acid synthas	4.3.3.n1
3-amino-5-hydroxybenzoic acid synthas	2.3.1.-
3-beta-HS	1.1.1.145
3-beta-HSD	1.1.1.-
3-beta-HSD	1.1.1.145
3-beta-HSD I	1.1.1.-
3-beta-HSD I	1.1.1.145
3-beta-HSD II	1.1.1.-
3-beta-HSD II	1.1.1.145
3-beta-HSD V	1.1.1.-
3-beta-HSD VI	1.1.1.-
3-beta-hydroxy-5-ene steroid dehydrogenas	1.1.1.-
3-beta-hydroxy-5-ene steroid dehydrogenas	1.1.1.145
3-beta-hydroxy-Delta(5)-C27 steroid oxidoreductas	1.1.1.-
3-beta-hydroxy-Delta(5)-steroid dehydrogenas	1.1.1.-
3-beta-hydroxy-Delta(5)-steroid dehydrogenas	1.1.1.145
3-beta-hydroxysteroid dehydrogenas	1.1.1.51
3beta-hydroxysteroid-dehydrogenase/decarboxylase isoform	1.1.1.170
3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomeras	1.1.1.145
3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase type	1.1.1.-
3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase type	1.1.1.145
3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase type I	1.1.1.145
3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase type II	1.1.1.145
3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase type V	1.1.1.-
3 beta-hydroxysteroid dehydrogenase type	1.1.1.-
3 beta-hydroxysteroid dehydrogenase type I	1.1.1.-
3 beta-hydroxysteroid dehydrogenase type II	1.1.1.-
3 beta-hydroxysteroid dehydrogenase type VI	1.1.1.-
3-beta-hydroxysteroid-Delta(8),Delta(7)-isomeras	5.3.3.5
3-beta-hydroxysteroid sulfotransferas	2.8.2.2
3-beta-hydroxysterol delta-24-reductas	1.3.1.-
3-beta-N-acetyl-D-glucosaminidase/beta-D-glucosidas	3.2.1.52
3-carboxy-cis,cis-muconate cycloisomeras	5.5.1.2
3-carboxy-cis,cis-muconate lactonizing enzym	5.5.1.5
3-carboxymuconate lactonizing enzym	5.5.1.2
3-chloro-4-hydroxyphenylacetate reductive dehalogenas	3.8.1.-
3-chlorobenzoate-3,4-dioxygenase oxygenase subuni	1.14.-.-
3-chlorobenzoate-3,4-dioxygenase reductase subuni	1.14.-.-
3C-like proteas	3.4.22.-
3C-like proteas	3.6.1.15
3CLpr	3.6.1.15
3D-(3,5/4)-trihydroxycyclohexane-1,2-dione hydrolas	3.7.1.n2
3D-(3,5/4)-trihydroxycyclohexane-1,2-dione hydrolase	3.7.1.n2
3-dehydro-L-gulonate 2-dehydrogenas	1.1.1.130
3-dehydro-L-gulonate-6-phosphate decarboxylas	4.1.1.85
3-dehydro-L-gulonate kinas	2.7.1.53
3-dehydroquinas	4.2.1.10
3-dehydroquinase	4.2.1.10
3-dehydroquinate dehydratas	4.2.1.10
3-dehydroquinate dehydratase	4.2.1.10
3-dehydroquinate synthas	1.-.-.-
3-dehydroquinate synthas	2.7.1.71
3-dehydroquinate synthas	4.2.3.4
3-dehydroquinate synthase homolo	1.-.-.-
3-dehydroshikimate dehydratas	4.2.1.-
3-dehydrosphinganine reductas	1.1.1.102
3-demethylubiquinone-9 3-methyltransferas	2.1.1.64
3-deoxy-2-oxo-D-gluconate kinas	2.7.1.45
3-deoxy-D-arabino-heptulosonate 7-phosphate synthas	2.5.1.54
3-deoxy-D-arabino-heptulosonate 7-phosphate synthase	2.5.1.54
3-deoxy-D-manno-octulosonate 8-phosphate phosphatas	3.1.3.45
3-deoxy-D-manno-octulosonic acid 8-phosphate synthas	2.5.1.55
3-deoxy-D-manno-octulosonic acid 8-phosphate synthase	2.5.1.55
3-deoxy-D-manno-octulosonic acid kinas	2.7.1.-
3-deoxy-D-manno-octulosonic-acid transferas	2.4.-.-
3-deoxy-manno-octulosonate cytidylyltransferas	2.7.7.38
3-deoxy-manno-octulosonate cytidylyltransferase	2.7.7.38
3-DG-reducing enzym	1.1.1.2
3-epi-6-deoxocathasterone 23-monooxygenas	1.14.13.112
3F8 chondroitin sulfate proteoglyca	3.1.3.48
3'G	2.4.1.238
3H1 keratan sulfate proteoglyca	3.1.3.48
3-HA	1.13.11.6
3-HAO-	1.13.11.6
3-HBD	1.1.1.30
3HBO	3.1.1.22
3HB-oligomer hydrolas	3.1.1.22
3-HCI hydroxylas	1.14.13.n3
3-HCI hydroxylase	1.14.13.n3
3-hexulose-6-phosphate isomeras	5.3.1.27
3-hexulose-6-phosphate synthas	4.1.2.43
3-hexulose-6-phosphate synthas	4.3.-.-
3-hexulose-6-phosphate synthase	4.1.2.43
3-HPP hydroxylas	1.14.13.n3
3-HPP hydroxylase	1.14.13.n3
3-hydroxy-2-methylbutyryl-CoA dehydrogenas	1.1.1.35
3-hydroxy-3-methylglutarate-CoA lyas	4.1.3.4
3-hydroxy-3-methylglutaryl-coenzyme A reductas	1.1.1.34
3-hydroxy-3-methylglutaryl-coenzyme A reductas	1.1.1.88
3-hydroxy-3-methylglutaryl-coenzyme A reductase	1.1.1.34
3-hydroxy-3-methylglutaryl coenzyme A synthas	2.3.3.10
3-hydroxy-3-methylglutaryl coenzyme A synthase	2.3.3.10
3-hydroxyacyl-[acyl-carrier-protein] dehydratas	4.2.1.-
3-hydroxyacyl-CoA-acyl carrier protein transferas	2.4.1.-
3-hydroxyacyl-CoA dehydratas	4.2.1.-
3-hydroxyacyl-CoA dehydratase	4.2.1.-
3-hydroxyacyl-CoA dehydratase PASTICCINO 2	4.2.1.-
3-hydroxyacyl-CoA dehydratase PASTICCINO	4.2.1.-
3-hydroxyacyl-CoA dehydratase PHS	4.2.1.-
3-hydroxyacyl-CoA dehydrogenas	1.1.1.35
3-hydroxyacyl-CoA dehydrogenas	4.2.1.17
3-hydroxyacyl-CoA dehydrogenase type-	1.1.1.35
3-hydroxyacyl-CoA dehydrogenase type I	1.1.1.35
3-hydroxyandrogen-specific UDPG	2.4.1.17
3-hydroxyanthranilate 3,4-dioxygenas	1.13.11.6
3-hydroxyanthranilate 3,4-dioxygenase	1.13.11.6
3-hydroxyanthranilate oxygenas	1.13.11.6
3-hydroxyanthranilate oxygenase	1.13.11.6
3-hydroxyanthranilic acid dioxygenas	1.13.11.6
3-hydroxyanthranilic acid dioxygenase	1.13.11.6
3-hydroxyasparagine phosphotransferas	2.7.1.-
3-hydroxybenzoate 6-hydroxylas	1.14.13.24
3-hydroxybenzoate 6-hydroxylase	1.14.13.24
3-hydroxybenzoate--CoA/4-hydroxybenzoate--CoA ligas	6.2.1.n1
3-hydroxybenzoyl-CoA reductase subunit alph	1.3.99.15
3-hydroxybenzoyl-CoA reductase subunit bet	1.3.99.15
3-hydroxybenzoyl-CoA reductase subunit delt	1.3.99.15
3-hydroxybenzoyl-CoA reductase subunit gamm	1.3.99.15
3-hydroxybenzoyl-CoA synthetas	6.2.1.n1
3-hydroxybutyrate dehydrogenas	1.1.1.30
3-hydroxybutyrate dehydrogenase type	1.1.1.30
3-hydroxybutyryl-CoA dehydratas	4.2.1.55
3-hydroxybutyryl-CoA dehydratase-like protein, mitochondria	4.2.1.-
3-hydroxybutyryl-CoA dehydrogenas	1.1.1.157
3-hydroxydecanoyl-[acyl-carrier-protein] dehydratas	4.2.1.60
3-hydroxyisobutyrate dehydrogenas	1.1.1.31
3-hydroxyisobutyrate dehydrogenase-like protei	1.-.-.-
3-hydroxyisobutyrate dehydrogenase, mitochondria	1.1.1.31
3-hydroxyisobutyryl-CoA hydrolase	3.1.2.4
3-hydroxyisobutyryl-CoA hydrolase-like protein 1, mitochondria	3.1.2.-
3-hydroxyisobutyryl-CoA hydrolase-like protein 2, mitochondria	3.1.2.-
3-hydroxyisobutyryl-CoA hydrolase-like protein	3.1.2.-
3-hydroxyisobutyryl-CoA hydrolase-like protein 4, mitochondria	3.1.2.-
3-hydroxyisobutyryl-CoA hydrolase, mitochondria	3.1.2.4
3-hydroxyisobutyryl-coenzyme A hydrolas	3.1.2.4
